campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-v2-t3,,,allowance,,0xaac12fd777dc158ed4c6907e158838cd3243569596fcbf8db5b1d040a9aeae75,34299,6000000,10978464815,,,,,approve-lotto
2026-09-02-v2-t3,1243,0xd6c285aa30675303d2c4994573f20683a68782477e73e97c84d59b900184a09a,allowance,1788350149.074,,,,,0xddd23c5f4a46ad7d4025bb280ee2b523cb86ad5a04a9ef1267f5c337e5aa16a8,65376,6000000,5936153535,ok
2026-09-02-v2-t3,1248,0x2ab389a9dade68c4061bc8d1e8b099ae24581a033173c72429fb1efc29825972,allowance,1788350150.269,,,,,0x832735213486e1a6daf1422ec64ac38c2760265e95a967e8cc2f8991c0d9487a,65388,6000000,32678103745,ok
2026-09-02-v2-t3,1247,0x5d4681d470cefba9ac48a78e501fd70a180eac2f54bcbb3f52adde3015744b55,allowance,1788350151.466,,,,,0x143043a4a12e835976a5ba9bc7dc1a50c31a6b56d254fabbab6e67ba9ea09297,65388,6000000,6062327377,ok
2026-09-02-v2-t3,1245,0xeb0d5e4a97b2b44733c01e8d1f54d02e556aad893bb66d8293b715418ae70323,allowance,1788350153.154,,,,,0x86c489b2168aa2e1104d9fbeda79719c49304503c712c63e0a51e08850d97888,65388,6000000,6062327377,ok
2026-09-02-v2-t3,1246,0x6f0147f0aa780fd0fb1db0b4d08c543e4ed376776472e1def630e50445357dc3,allowance,1788350154.328,,,,,0x1d629cf7439b49debbb45e09b10d596949178282f971fdccb9cdbaae01eb825f,65388,6000000,6062327377,ok
2026-09-02-v2-t3,1250,0x75db10f625df4b1b6d3780b9135adaf526eecfb0f62b674fd0f5af25e06cef13,allowance,1788350155.788,,,,,0xda9c0274455a08b86bb2efebd9706437efc0f878a3608b376fd34ec96b8f8fbd,65388,6000000,6062327377,ok
2026-09-02-v2-t3,1244,0xb6d6b16a7e6293754ba67c02eddcccb4abc6661498f67494237c7fcb2aef6983,allowance,1788350156.99,,,,,0xd42de503a78d29a58b0dae19a2f443520013d0a66378f0fc2d50d419a7cb8b61,65388,6000000,15826548281,ok
2026-09-02-v2-t3,1249,0xa42db306b70883235898a9889787ad0c9e4cd42abd9ab0ef924cbf446f0f2a03,allowance,1788350159.639,,,,,0x497c897259fd80f25d09da566a257ed10e929d74a985efb429b3d322fdcdcb7d,60588,6000000,7966286162,ok
2026-09-02-v2-t3,,,allowance,,0xd0689a2f8dfaf9d3b3bd23702db50fb2d68604667ad7ea187bc44b9ca1b7b76b,34299,6000000,6489358046,,,,,approve-lotto
2026-09-02-v2-t3,1252,0xb06c1d0f6de0c411fed14ee7c00c1ba96436fd62f16d68f08663b1945d007379,allowance,1788350248.171,,,,,0x405cf3c66a5a0dc71fb7e869bb8584366654bdbab1a56c4d7765050ff9c8ec60,65376,6000000,6085842192,ok
2026-09-02-v2-t3,1256,0x18558bbfc13a2485ca14f572a1f862e03e3163eb6ec83c543689861cac0386c6,allowance,1788350249.137,,,,,0xa5224881c48378da87ca80a89cfccb9600344131e8a09c568816384c17aaa90c,65388,6000000,6085842192,ok
2026-09-02-v2-t3,1258,0x484900fdefc7d4e81853c31aaa2de21c6430366edf4df04bc7ad660f2a27c51b,allowance,1788350250.543,,,,,0x8557ba4cb8c736c87bf5d9c9d2e51aaaca78745740d55dde4513ec55ab580818,65376,6000000,6085842192,ok
2026-09-02-v2-t3,1254,0x205137f481250bb2f6371683b6b2dcc27458677ac8383748d3a620b76b3d6006,allowance,1788350251.649,,,,,0x420692685b141dd6a4327d4b558a0297d24fc8c42b9d46428b47d3650e14f6d8,65388,6000000,824969892498,ok
2026-09-02-v2-t3,1257,0xe765f9152af65ceb0f166770bf5db7a81a7d3044463c0197403790b324e5ebe3,allowance,1788350252.596,,,,,0xc3bc81d749036aa463dfef995633e711bc7d371f9eeaa1e05ea302690b8bf75d,65388,6000000,11255302610,ok
2026-09-02-v2-t3,1255,0xc3ca4ec9f8b593ec319c245a3b156fd48f3b88ffc4a5adf85fc3bbfd392161b7,allowance,1788350253.915,,,,,0x3d55c0f9bce7dcad7045e2cadcfb158dba137cf0d79157a1e6c4c399af410f2f,65388,6000000,6085842192,ok
2026-09-02-v2-t3,1253,0xefdb7021edc4a47b4765705a00ab04f962127d44fa5ba1b2a2138d2482bda26d,allowance,1788350257.172,,,,,0x4230cc07d482e49835de8d69d0f2ea5c1bea6f706c19200eb077be76d1e9419f,65376,6000000,6085842192,ok
2026-09-02-v2-t3,1251,0x2a2a283a9d1e343656b0adfccd873e885e4d53dce343f356bb74b97572aecb7c,allowance,1788350258.565,,,,,0xf70a02929c22af971acd29e607801baab8f52202f96b1608229a90ea8d07ea10,60576,6000000,6085842192,ok
2026-09-02-v2-t3,,,allowance,,0xaa9261475b0f0bb78f64bff2ee6a93988e69e14f8c114b8028ae2bbd0ba8f771,34299,6000000,5675008570,,,,,approve-lotto
2026-09-02-v2-t3,1265,0xd16198d1930d5a71e20cb49732baf47f8d47c75fce7c4a995e9a19bbb558b4dc,allowance,1788350336.623,,,,,0xd76bd2cdef40f5e2904158974f20d7d9a121e96052a8812b49b9b93ae148d84d,65388,6000000,5675008570,ok
2026-09-02-v2-t3,1261,0xe189363dd58acff6736fb390107b70255333f3b1d59ec09b5219007b9cbb101d,allowance,1788350337.758,,,,,0x2d91dd931c608d44777702ca7eee8627debfeca0b1fed146777c7d8321f855d2,65376,6000000,5675008570,ok
2026-09-02-v2-t3,1266,0x13bcfeecf30c30f289aa88530c490e83e1ff3573fa327fda79d2c41e04a18cc3,allowance,1788350340.622,,,,,0xf67d1017353eb7d89a2930b235ada93ff065b7d9d59698ac4b8fb6e5afef13f2,65388,6000000,5675008570,ok
2026-09-02-v2-t3,1263,0xc45ce42c31dbe0ad0dd5d6fce2790a640494a454a0f5f690b7cb664fa02ed94a,allowance,1788350341.597,,,,,0xc214b00c2111cf7a3a26c2e158422fb51c71437dee2c392cfb4a322003965f73,65388,6000000,5675008570,ok
2026-09-02-v2-t3,1262,0xa406ac00aff91f16f50a62351fd5f8462b785e2c1547992ef704e762f3f42a3c,allowance,1788350342.754,,,,,0x783cd87370b2c7a9584a771a1fc4fcb939509d0aa1c44310f7ade86dc60f90bd,65376,6000000,5811623783,ok
2026-09-02-v2-t3,1259,0xdb19ed2dfa327e0c7cb00575aeab072956a65c31f754aa716797a4d3d8784f08,allowance,1788350344.396,,,,,0x0c604686b95520348587209b67eb21ec68ffb5aa6eead8fae3ee79a7326a2def,65376,6000000,5811623783,ok
2026-09-02-v2-t3,1260,0x44076816939474ebf552c08d6dfa014591e14eee6a8463ace23bb610d19e3fb1,allowance,1788350345.334,,,,,0xa55d5d8885470b2c7b36ad92d1541f6334cc8458a45f6661ba22ee5b7fac25df,65388,6000000,5811623783,ok
2026-09-02-v2-t3,1264,0xcd4cdeb65755fc08ee97841aa173328f667cf94bcf654a6a06fafd47ac6b29ac,allowance,1788350348.508,,,,,0xb9a9f365424ea351d58821c1360ca69ee6644bc1171268a091b4041ab70a6f34,60588,6000000,5811623783,ok
2026-09-02-v2-t3,,,allowance,,0x2b9380e54ba9f9c36db2769f8b13fbc5c258b4dcb9a86d96d52643b3a738a61b,34299,6000000,43229095177,,,,,approve-lotto
2026-09-02-v2-t3,1272,0x6d15852ba6cd8eed8d6be707f45c04fc0437fe7228f1ef003168a3febb5dfc37,allowance,1788350435.404,,,,,0xaef2d337e990e783186c0788350321f03d64d3bb7eb42534e560b5742befd3d4,65376,6000000,6036572252,ok
2026-09-02-v2-t3,1273,0x4048a08ee69f40e56d44aadc6919c57c90fae51f6197d921987225969b15d350,allowance,1788350436.835,,,,,0x4dfc4f2482d5fc89bff7985d6d465b81999c30cc00f3ba534d21f5c762cfdc7c,65388,6000000,19142538050,ok
2026-09-02-v2-t3,1268,0xe0bba41629eb5959f0860da33e6514305fdbe38f90b53698c52c9ff0ad7bcbae,allowance,1788350437.798,,,,,0x812e018beca9bd7c05014a6e1f3ab195884a3b72f58628d17b63e770ec19969d,65388,6000000,9649303794,ok
2026-09-02-v2-t3,1270,0x4ca422c4f6dc83cf75f27044d3a33ad0d9c908327783487d6de2ab326b7e5c02,allowance,1788350441.018,,,,,0x4048269682e7c355f568e7afb04f64d370de1973f434e391f29d54999c150b5b,65388,6000000,6236232197,ok
2026-09-02-v2-t3,1267,0x86a5f247674c664f94054cc95527cf7ac7b1b4f749b6a5096da78241410b5a20,allowance,1788350442.411,,,,,0x6fb6f9e389cfe0ff21c9e1350ac4a9142e424f658ebc728e055948e3da44eb15,65376,6000000,9864122861,ok
2026-09-02-v2-t3,1271,0xcf1eaf38890a8448fb85e692ea8495f91116e16fdf806e4b30951a663b8f49d4,allowance,1788350443.409,,,,,0xc739607cf0cc88a1cf73b94e2415d47d22f398f2e8373aa9594175966bc62f7f,65388,6000000,6236232197,ok
2026-09-02-v2-t3,1274,0xa14cffc8e82834ca156725b0025f4e6e3bf7abe8d3b11ee98a0ce5aed3cb7fcd,allowance,1788350444.434,,,,,0x32b5b4eba0aff3900853c5cd309b9c6bb2e850c19b718be726b2516165f7cfd6,65388,6000000,6236232197,ok
2026-09-02-v2-t3,1269,0x9e2a5727c5718bfba5b7d237b389474035ba8a779f45be6e5160fe671722115e,allowance,1788350445.793,,,,,0x9b03ffedbc0281c53f063795757205329ef875c6de5c78c071c0437cdbf20564,60588,6000000,6236232197,ok
