campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-v2-approve,1143,0x0a208616e38f65fe06055c937f4507ecca019596128d94246a58dad19f152a41,approve,1788341618.141,0xadf29eba067ed1d8229ad5d6d448f34c7c418b00893629ae62fd8b27ea47608c,31487,6000000,6007812380,0xa99cf95284c4a4f92a7b2efcfa5529ed1362c24f8f6fdde7afd845c9079327b3,60588,6000000,6007812380,ok
2026-09-02-v2-approve,1142,0xeefa7c058d91edc2bec9eff9ba525689ba8195821525351ee4cf2e5b837d2bb8,approve,1788341626.464,,,,,,,,,fallito: The contract function "pay" reverted with the following signature: 0xfb8f41b2
2026-09-02-v2-approve,1144,0x95e69450446a5e31a6984f90cf4ce4d00ce8a37bff3584fff7a8bd33e68bdd9b,approve,1788341633.59,0xa2bd56d13aa7eea2cf6a0068522623d797db32e4f62881c77d83677dfb29e429,31487,6000000,63425924387,0x85c783ad49a79d25e2a5157fdb98e0cf77595c335d7ff63b6aac886f89927bea,60588,6000000,5937164826,ok
2026-09-02-v2-approve,1146,0x5ea846659c61ba1663ff6e63d361f05c499289e16a66889360ccd59ce827b0dc,approve,1788341711.313,0xab6a75ef2b4d72e1cfe5bbbacd309006566ae957ef7814c8df7de9b4ccc90b0a,31487,6000000,14992518112,0x61dc7105663b8be7624ce9e4a759dd602ec09391fa622f4cc81cc9ad8f8a79b6,60588,6000000,5742853804,ok
2026-09-02-v2-approve,1145,0x33ba0e3f97b4fad7a25bc5d0cbc0ae770769e8a73ff173c98f1b473cdbdfef8f,approve,1788341718.863,,,,,,,,,fallito: The contract function "pay" reverted with the following signature: 0xfb8f41b2
2026-09-02-v2-approve,1147,0x61346555f990c04fbb1175d5041823628f7c30f1d2541cf90836c68c13b57e54,approve,1788341727.273,0xde63fd61365e2084d5d89c50e03e517373f3a4262e0138b543bae33945f01b08,31487,6000000,5985573680,0x84f91a1ab168f2476eebd1fd4bb393caf2e690d5d318aad4da3d5bb54cd6427d,60588,6000000,5985573680,ok
