etichetta,unita,n,min,mediana,p95,max,finestra_da,finestra_a,rete
safe,secondi,99,30,230,414.4,444,2026-08-31T23:08:18.000Z,2026-08-31T23:33:16.000Z,https://sepolia.base.org
finalized,secondi,99,810,1010,1208.4,1256,2026-08-31T23:08:18.000Z,2026-08-31T23:33:16.000Z,https://sepolia.base.org
