etichetta,unita,n,min,mediana,p95,max,finestra_da,finestra_a,rete
safe,secondi,99,22,56,90.19999999999999,96,2026-08-31T23:08:23.000Z,2026-08-31T23:33:19.000Z,https://mainnet.base.org
finalized,secondi,99,830,1030,1196.6,1218,2026-08-31T23:08:23.000Z,2026-08-31T23:33:19.000Z,https://mainnet.base.org
