campagna,order_id,order_ref,modalita,t_invio,tx_approve,gas_approve,prezzo_approve_wei,l1_fee_approve_wei,tx_pay,gas_pay,prezzo_pay_wei,l1_fee_pay_wei,esito
2026-09-02-v2-t2,,,allowance,,0x277aff8df7170bfa4bccba61514ac37e5f4b992e918167b2ddde76cc1fcffc47,51399,6000000,6083193671,,,,,approve-lotto
2026-09-02-v2-t2,1168,0xaa9fd4178436e671cb37d3ebdfa5b4e4db4b56406a6ee65c644cbff25096f7c5,allowance,1788346351.22,,,,,0x66680821bcedd9014c449f3a4e668e7e8799177c0148d993f9e3541c8b89e77a,65388,6000000,6083193671,ok
2026-09-02-v2-t2,1166,0x86d690e9b125d5b3234212b31fb4b8db60544cc09d9b8ed835fadcfddfbf950b,allowance,1788346356.991,,,,,0x65c3ed4a0cf4555447f32835fbb6ab86c429733f03fd85903649b564bf0b0dc2,65388,6000000,6083193671,ok
2026-09-02-v2-t2,1167,0xb0541ecad747b212e1b2c0b62dc8eed3904a8856762ab2ec2c2d5c7f6b13c1b6,allowance,1788346358.657,,,,,0x81382668aaecac4753076b6a72b485279e0440be09338e642bc4b9233bf3d931,65388,6000000,6083193671,ok
2026-09-02-v2-t2,1170,0xd13d24ad27d3102e0fe5d1faaea6980a0c27cdd2374eb46e63a6768d802f6b93,allowance,1788346359.603,,,,,0x407a3b85b7af22f10ded0f76cbce278e99bdf70ff6cbc13f49b8cea5bdf07178,65388,6000000,6083193671,ok
2026-09-02-v2-t2,1169,0xa8113f7484cb31a4e06506eb007f125681fb97fab3a84c0dd49e24357f3769d7,allowance,1788346361.12,,,,,0x659e97a31a0bb1b876759ddd6418d5fb220a776ecff121f7b979047061205265,65376,6000000,6116836990,ok
2026-09-02-v2-t2,1163,0x537c6a53865b6bd2b53ee0f77d3791e5202b0173e330cc82b7bd85c1edcd01d6,allowance,1788346362.424,,,,,0x20debdf3d55a43b78ec6235a810a533d1ca26b10716d47e0d142e72e311c87a2,65376,6000000,6116836990,ok
2026-09-02-v2-t2,1164,0x12765cd2a914a4d1ce9cba97f6e3c9d0c9ba987e11074ae3aed3f25ff61f0863,allowance,1788346363.476,,,,,0xffdeb4f55e8ce2ebe85d67591c06d2135e6f58921134cae334238fcf9e140fd1,65388,6000000,6116836990,ok
2026-09-02-v2-t2,1165,0x076a7832d67c05498dce07c3ce6dbe6af4df30b0e3b76a235f100a379292dce6,allowance,1788346364.422,,,,,0x44680c26fd631d9a49f45aaa855717f7c46d29b8998978e2067d5d41d5c51a4c,60588,6000000,6116836990,ok
2026-09-02-v2-t2,,,allowance,,0xbe9e6cb689b70797714e357304a0ad4d57a06a4deea80fad8926416b5bcba316,34299,6000000,6040750491,,,,,approve-lotto
2026-09-02-v2-t2,1173,0x3964cdb536ecc27adebc172420d70671e589537fc8ca88b2c47261a98f562605,allowance,1788346449.622,,,,,0x42b528cf6207b6fd131c90d14a2c1c24a91d1404d556178a829ca8cd435cf852,65388,6000000,6040750491,ok
2026-09-02-v2-t2,1178,0x093075c787f526aa370eefd9352bff9029e6eb888036addd177fc0cfe8a7888e,allowance,1788346450.567,,,,,0xd40b09fd9e40c4feb1e6fdeb8eb481f2c4bd847740a88e9c378005342842f00a,65388,6000000,6040750491,ok
2026-09-02-v2-t2,1175,0xcd6d251a00b0a4ca2ac869396f6b378d8a04b1ea864a9d5ea529af9d694917dc,allowance,1788346451.466,,,,,0x8bbf158232027d28eeea7afb527e10695e52869e559510b31735526db2d1cf84,65376,6000000,6040750491,ok
2026-09-02-v2-t2,1177,0x4a1cfaf82a518f04cc04161326ddc78125fa2300dd88564acdc0976a4f4ab677,allowance,1788346452.403,,,,,0xfcb1a6e2e0c0a746391582b5bf41bd14a68fef2db738992acd59da3bfe5905bd,65376,6000000,6040750491,ok
2026-09-02-v2-t2,1171,0x00d19b7e944322827e4950d160e4e6cb24ea2e3abd8ceb5725992e744bc1c4de,allowance,1788346453.763,,,,,0xf42053ff31bac85a458118bb05fdaa807afcdb8d30e815fb917a6132459f63e4,65364,6000000,6040750491,ok
2026-09-02-v2-t2,1176,0xbf8eb1d0e5ba4c28fef7e41c3f77c27f271ab436a7ee0308a49eb9547fb0e3c0,allowance,1788346455.099,,,,,0x4f78ddd075f20543a1070c9374b48abe5a20b0ac3500c16eb38f4b6cb55ed765,65388,6000000,6040750491,ok
2026-09-02-v2-t2,1172,0xf8abba2be8fc4c79bbf3aa12f864a910a2def626f67337f8e629c0d2209bf0d8,allowance,1788346456.477,,,,,0x1caa72fac09096e24f0b9971f5c0755fbf338af81734e5b6e55b1c8fae4cc242,65388,6000000,6040750491,ok
